File,SentenceNumber,Sentence,Translation,TimeStamp,author,raw,authorEmoji,textEmoji,authorNon,textNon
A_1,0,Vittima : Ciao . . . volevo invitarvi al saggio di danza classica sabato 3 marzo . . . mi farebbe molto piacere . . . mi vergogno un po' . 🤭,"Vittima : Hi . . . I wanted to invite you to the ballet recital on Saturday, March 3 . . . it would make me very happy . . . I'm a little embarrassed . ��",empty,Vittima ," Hi . . . I wanted to invite you to the ballet recital on Saturday, March 3 . . . it would make me very happy . . . I'm a little embarrassed . ��",Vittima,"Hi . . . I wanted to invite you to the ballet recital on Saturday, March 3 . . . it would make me very happy . . . I'm a little embarrassed . ��",Vittima,"Hi . . . I wanted to invite you to the ballet recital on Saturday, March 3 . . . it would make me very happy . . . I'm a little embarrassed . ��"
A_1,1,Vittima : WA0001 . jpg ( file allegato ),Vittima : WA0001 . jpg (file attached),empty,Vittima , WA0001 . jpg (file attached),Vittima,WA0001 . jpg (file attached),Vittima,WA0001 . jpg (file attached)
A_1,2,‪SupportoVittima1‬ : Chiedo a mia mamma e to farò sapere,‪SupportoVittima1 : I’ll ask my mom and I'll let you know,empty,‪SupportoVittima1 , I’ll ask my mom and I'll let you know,‪SupportoVittima1,I’ll ask my mom and I'll let you know,‪SupportoVittima1,I’ll ask my mom and I'll let you know
A_1,3,Vittima : Grazie SupportoVittima1 !,Vittima : Thanks SupportoVittima1!,empty,Vittima , Thanks SupportoVittima1!,Vittima,Thanks SupportoVittima1!,Vittima,Thanks SupportoVittima1!
A_1,4,‪Bullo1‬ : Ah un saggio di danza,‪Bullo1 : Ah a dance recital,empty,‪Bullo1 , Ah a dance recital,‪Bullo1,Ah a dance recital,‪Bullo1,Ah a dance recital
A_1,5,‪Bullo1‬ : Tu,‪Bullo1 : You,empty,‪Bullo1 , You,‪Bullo1,You,‪Bullo1,You
A_1,6,‪Bullo1‬ : Tu che sei un maschio,‪Bullo1 : You who are a male,empty,‪Bullo1 , You who are a male,‪Bullo1,You who are a male,‪Bullo1,You who are a male
A_1,7,‪SupportoBullo2‬ : Infatti ti sembra normale ? ? &#128514; &#128514;,"‪SupportoBullo2 : Actually, does it seem normal to you? ? &#128514;  &#128514",empty,‪SupportoBullo2 ," Actually, does it seem normal to you? ? &#128514;  &#128514",‪SupportoBullo2,"Actually, does it seem normal to you? ? 😂 &#128514",‪SupportoBullo2,"Actually, does it seem normal to you? ?  &#128514"
A_1,8,‪SupportoVittima3‬ : Grazie Vittima ci sarò sicuramente,‪SupportoVittima3 : Thanks Vittima I will definitely be there,empty,‪SupportoVittima3 , Thanks Vittima I will definitely be there,‪SupportoVittima3,Thanks Vittima I will definitely be there,‪SupportoVittima3,Thanks Vittima I will definitely be there
A_1,9,‪Bullo1‬ : No è da femmine,"‪Bullo1 : No, it's for girls.",empty,‪Bullo1 ," No, it's for girls.",‪Bullo1,"No, it's for girls.",‪Bullo1,"No, it's for girls."
A_1,10,‪Bullo1‬ : Poi me lo immagino con i leggins,‪Bullo1 : Then I imagine him wearing  leggings.,empty,‪Bullo1 , Then I imagine him wearing  leggings.,‪Bullo1,Then I imagine him wearing leggings.,‪Bullo1,Then I imagine him wearing leggings.
A_1,11,‪Bullo1‬ : E il tutù,‪Bullo1 : What about the tutu?,empty,‪Bullo1 , What about the tutu?,‪Bullo1,What about the tutu?,‪Bullo1,What about the tutu?
A_1,12,‪Bullo1‬ : &#128514; &#128514; &#128514; &#128514;,‪Bullo1‬ : &#128514; &#128514; &#128514; &#128514;,empty,‪Bullo1‬ , &#128514; &#128514; &#128514; &#128514;,‪Bullo1‬,😂 😂 😂 😂,‪Bullo1‬,   
