File,SentenceNumber,Sentence,EntityType,Role,Sarcasm,Non-Offensive
B_1,0,"‎24 / 04 / 18 , 13 : 53 - Bullo1 : Secchio . . . . Dovevi fare la spia . . . . . Sfigato",Insult-General_Insult,Harasser,False,False
B_1,1,"‎24 / 04 / 18 , 13 : 54 - Vittima : guarda che l'ho fatto per voi",Defense,Victim,False,False
B_1,3,"‎24 / 04 / 18 , 13 : 55 - Bullo1 : Brutto sfigato . . . . . Non me ne frega . . . . Fatti i c***i tuoi",Curse_or_Exclusion,Harasser,False,False
B_1,3,"‎24 / 04 / 18 , 13 : 55 - Bullo1 : Brutto sfigato . . . . . Non me ne frega . . . . Fatti i c***i tuoi",Insult-General_Insult,Harasser,False,False
B_1,4,"‎24 / 04 / 18 , 13 : 56 - SupportoVittima1 : Già , poi a scuola non si portano sigarette",Defense,Bystander_defender,False,False
B_1,6,"‎24 / 04 / 18 , 13 : 58 - Bullo1 : Appena ti becco fuori da scuola ! te la ficco in bocca la sigaretta",Threat_or_Blackmail,Harasser,False,False
B_1,7,"‎24 / 04 / 18 , 13 : 59 - Vittima : ma se non sai neanche accenderla",Defamation,Victim,False,False
B_1,8,"‎24 / 04 / 18 , 13 : 59 - Vittima : siete invidiosi perché vado bene a scuola , tutto qua",Defense,Victim,False,False
B_1,9,"‎24 / 04 / 18 , 14 : 00 - Bullo1 : Sei solo un secchio , non hai amici , e fai schifo ooooo ! ! ! 😡 😡 😡 😡",Insult-General_Insult,Harasser,False,False
B_1,9,"‎24 / 04 / 18 , 14 : 00 - Bullo1 : Sei solo un secchio , non hai amici , e fai schifo ooooo ! ! ! 😡 😡 😡 😡",Curse_or_Exclusion,Harasser,False,False
B_1,10,"‎24 / 04 / 18 , 14 : 00 - SupportoBullo1 : La smettete di prendere in giro Vittima",Defense,Bystander_defender,False,False
B_1,11,"‎24 / 04 / 18 , 14 : 02 - Bullo1 : Cosa vuoi tu non lo conosci nemmeno , siete tutti è due sfigati cronici 😂 🤓 🤓 🤓 🤓 🤓",Insult-General_Insult,Harasser,False,False
B_1,12,"‎24 / 04 / 18 , 14 : 02 - Vittima : non faccio schifo , ho solo detto la verità alla maestra",Defense,Victim,False,False
B_1,13,"‎24 / 04 / 18 , 14 : 02 - Vittima : ve lo meritate di perdere l'anno se vi comportate così",Defense,Victim,False,False
B_1,15,"‎24 / 04 / 18 , 14 : 12 - SupportoBullo1 : Avete rotto",Insult-General_Insult,Bystander_assistant,False,False
B_1,17,"‎24 / 04 / 18 , 14 : 14 - SupportoBullo1 : Vittima a detto solo la verità",Defense,Bystander_defender,False,False
B_1,18,"‎24 / 04 / 18 , 14 : 34 - SupportoBullo2 : Dovrebbe farsi gli affari suoi invece di ficcare sempre il naso negli affari degli altri se non vuole finire all'ospedale",Threat_or_Blackmail,Bystander_assistant,False,False
B_1,21,"‎24 / 04 / 18 , 14 : 37 - SupportoVittima1 : Vittima ha fatto solo la cosa giusta , smettetela ! !",Defense,Victim,False,False
B_1,23,"‎24 / 04 / 18 , 14 : 38 - SupportoBullo1 : Non sono affari tuoi",Curse_or_Exclusion,Bystander_assistant,False,False
B_1,25,"‎24 / 04 / 18 , 14 : 39 - SupportoVittima1 : Non è colpa mia se avete portato delle sigarette a scuola",Defense,Victim,False,False
B_1,26,"‎24 / 04 / 18 , 14 : 39 - Vittima : potevate pensarci prima",Defense,Victim,False,False
B_1,27,"‎24 / 04 / 18 , 14 : 40 - SupportoBullo1 : Te né in porta spione",Insult-General_Insult,Bystander_assistant,False,False
B_1,28,"‎24 / 04 / 18 , 14 : 40 - SupportoBullo2 : Era solo per divertirci scema",Insult-General_Insult,Bystander_assistant,False,False
B_1,29,"‎24 / 04 / 18 , 14 : 41 - SupportoBullo1 : Ecco ai ragione",Encouragement_to_the_Harasser,Bystander_assistant,False,False
