File,SentenceNumber,Sentence,Translation,EntityType,Role,Sarcasm,NonOffensive
B_1,0,"‎24 / 04 / 18 , 13 : 53 - Bullo1 : Secchio . . . . Dovevi fare la spia . . . . . Sfigato","‎24 / 04 / 18 , 13 : 53 - Bullo1 : Nerd. . . . You had to be a snitch. . . . . Loser",Insult-General_Insult,Harasser,False,False
B_1,1,"‎24 / 04 / 18 , 13 : 54 - Vittima : guarda che l'ho fatto per voi","‎24 / 04 / 18 , 13 : 54 - Vittima : I did it for you, you know",Defense,Victim,False,False
B_1,3,"‎24 / 04 / 18 , 13 : 55 - Bullo1 : Brutto sfigato . . . . . Non me ne frega . . . . Fatti i c***i tuoi","‎24 / 04 / 18 , 13 : 55 - Bullo1 : Ugly loser . . . . . I don't care . . . . Mind your own business",Curse_or_Exclusion,Harasser,False,False
B_1,3,"‎24 / 04 / 18 , 13 : 55 - Bullo1 : Brutto sfigato . . . . . Non me ne frega . . . . Fatti i c***i tuoi","‎24 / 04 / 18 , 13 : 55 - Bullo1 : Ugly loser . . . . . I don't care . . . . Mind your own business",Curse_or_Exclusion,Harasser,False,False
B_1,3,"‎24 / 04 / 18 , 13 : 55 - Bullo1 : Brutto sfigato . . . . . Non me ne frega . . . . Fatti i c***i tuoi","‎24 / 04 / 18 , 13 : 55 - Bullo1 : Ugly loser . . . . . I don't care . . . . Mind your own business",Insult-General_Insult,Harasser,False,False
B_1,3,"‎24 / 04 / 18 , 13 : 55 - Bullo1 : Brutto sfigato . . . . . Non me ne frega . . . . Fatti i c***i tuoi","‎24 / 04 / 18 , 13 : 55 - Bullo1 : Ugly loser . . . . . I don't care . . . . Mind your own business",Insult-General_Insult,Harasser,False,False
B_1,4,"‎24 / 04 / 18 , 13 : 56 - SupportoVittima1 : Già , poi a scuola non si portano sigarette","‎24 / 04 / 18 , 13 : 56 - SupportoVittima1 : Yeah, and you don't bring cigarettes to school.",Defense,Bystander_defender,False,False
B_1,6,"‎24 / 04 / 18 , 13 : 58 - Bullo1 : Appena ti becco fuori da scuola ! te la ficco in bocca la sigaretta","‎24 / 04 / 18 , 13 : 58 - Bullo1 : As soon as I catch you out of school! I'll put a cigarette in your mouth.",Threat_or_Blackmail,Harasser,False,False
B_1,7,"‎24 / 04 / 18 , 13 : 59 - Vittima : ma se non sai neanche accenderla","‎24 / 04 / 18 , 13 : 59 - Vittima : but if you can't even light it up",Defamation,Victim,False,False
B_1,8,"‎24 / 04 / 18 , 13 : 59 - Vittima : siete invidiosi perché vado bene a scuola , tutto qua","‎24 / 04 / 18 , 13 : 59 - Vittima : You are jealous because I do well in school, that's all.",Defense,Victim,False,False
B_1,9,"‎24 / 04 / 18 , 14 : 00 - Bullo1 : Sei solo un secchio , non hai amici , e fai schifo ooooo ! ! ! &#128545; &#128545; &#128545; &#128545;","‎24 / 04 / 18 , 14 : 00 - Bullo1 : You are just a nerd  , you have no friends , and you suck ! ! ! &#128545; &#128545; &#128545; &#128545;",Insult-General_Insult,Harasser,False,False
